"analysis_id","mgi_accession_id","gene_symbol","mouse_life_stage","mouse_strain","parameter_id","parameter_name","pvalue"
"pwdixsi1m6ahq5j","MGI:1919824","Zc3h14","Early adult","C57BL","IMPC_EYE_023_001","Optic Disc",0.85
"pwz06qcxr6vbw11","MGI:1928486","Tdo2","E15.5","C57BL","IMPC_EYE_007_001","Cornea",0.18
"px4uu743p1re64a","MGI:1919192","Myof","Early adult","C57BL","CCP_XRY_057_001","Kyphosis",0.4
"px597l73mnwx7nx","MGI:1915340","Yif1a","Early adult","C57BL","ESLIM_020_001_002","Heart weight",0.7
"px6725536zztl85","MGI:1098746","Ankzf1","Early adult","C57BL","IMPC_EYE_017_001","Lens Opacity",0.3
"pxed16136vce53r","MGI:3652039","Rad21l","Late adult","C57BL","IMPC_CBC_007_001","Albumin",0.54
"py0n173a58i851i","MGI:1923549","Erp44","Early adult","C57BL","IMPC_HEM_006_001","Mean corpuscular hemoglobin",0.8
"py33n6a48z64u0x","MGI:1923549","Erp44","Early adult","C57BL","IMPC_OFD_010_001","Periphery distance travelled",0.87
"py4u9249v61gh3t","MGI:1915267","Mrm2","Early adult","C57BL","IMPC_CBC_014_001","Alkaline phosphatase",0.14
"py5ps84sk3z8616","MGI:88071","Arnt","Early adult","C57BL","IMPC_GEM_068_001","Forebrain morphology",0.97
"py5zr1917dy6m07","MGI:103250","Calm2","Early adult","C57BL","ESLIM_016_001_008","Platelets count",0.87
"pz1156895s0w6lf","MGI:2136748","Pcdhb13","Early adult","C57BL","JAX_LDT_008_001","Percent time in dark",0.88
"pz3004un93n3by1","MGI:1923549","Erp44","Early adult","C57BL","IMPC_DXA_005_001","Bone Mineral Content (excluding skull)",0.61
"pz6e2j3q3fd19y2","MGI:1915267","Mrm2","Early adult","C57BL","IMPC_CSD_032_001","Locomotor activity",0.29
"pzp3kz7mbm351ic","MGI:2136890","Setd4","Early adult","C57BL","IMPC_ECH_010_001","LVAWs",0.59
"pzsfqmf61829w5u","MGI:2387194","Qsox2","Early adult","C57BL","IMPC_ECH_011_001","LVIDs",0.76
"pzt37y2545ny8qr","MGI:3646952","Spink14","Early adult","C57BL","IMPC_EYE_063_001","Right inner nuclear layer",0.87
"pzu0bixj770f2m9","MGI:2661120","Actr3b","Early adult","C57BL","M-G-P_026_001_011","Snout morphology",0.93
"pzz3m7th7y2kow7","MGI:1920431","Nfatc4","Early adult","C57BL","IMPC_CBC_005_001","Creatinine",0.45
"q00tn212159mdz0","MGI:88344","Cd7","Early adult","C57BL","RBRCLA_HEM_005_001","Mean cell volume",0.11
"q022z6qi14516g4","MGI:96217","Hprt1","Early adult","C57BL","IMPC_GRS_010_001","Forelimb grip strength normalised against body weight",0.08
"q02k966e9x56h5g","MGI:88452","Col2a1","Early adult","C57BL","IMPC_ECH_010_001","LVAWs",0.96
"q0353vx5f83s54l","MGI:1916943","Pof1b","Early adult","C57BL","IMPC_GRS_010_001","Forelimb grip strength normalised against body weight",0.43
"q056qy7055d62hr","MGI:1333782","Pld3","Early adult","C57BL","IMPC_HEM_006_001","Mean corpuscular hemoglobin",0
"q067violnz0hc99","MGI:98839","Prss1","Early adult","C57BL","IMPC_ECH_012_001","LVPWs",0.26
"q0728u11hx0e166","MGI:2137026","P2rx5","Early adult","C57BL","IMPC_CBC_012_001","Aspartate aminotransferase",0.28
"q088p8z2e309jst","MGI:99160","Zfp14","Early adult","C57BL","IMPC_EYE_025_001","Retinal Blood Vessels Structure",0.52
"q0j000o5kpms6ea","MGI:1339759","Csf2rb","Early adult","C57BL","IMPC_ACS_034_001","% Pre-pulse inhibition - PPI2",0.13
"q0n91igdmd31dl1","MGI:1921275","Nphp3","Early adult","C57BL","KMPCLA_HEM_007_001","Mean cell hemoglobin concentration",0.23
"q0w7v160r269h8o","MGI:102716","Cryba4","Early adult","C57BL","IMPC_GRS_010_001","Forelimb grip strength normalised against body weight",0.44
"q0zs6pb3o808941","MGI:1915267","Mrm2","E9.5","C57BL","JAX_LDT_008_001","Percent time in dark",0.71
"q10236o41kh2uuy","MGI:2388280","Polr2b","Early adult","C57BL","M-G-P_025_001_013","Aspartate aminotransferase",0.7
"q13b9e8gu7k0e29","MGI:97594","Prkacb","Early adult","C57BL","JAX_HBD_001_001","Total holepokes",0.93
"q13clt875x27489","MGI:3652039","Rad21l","Middle aged adult","C57BL","IMPC_OWT_002_001","Spleen weight",0.12
"q1405993ki83v1q","MGI:2685031","Leo1","Early adult","C57BL","IMPC_OFD_011_001","Periphery resting time",0.4
"q14703f41q82vd4","MGI:2136890","Setd4","Early adult","C57BL","IMPC_GEM_027_001","Limb Bud Morphology",0.39
"q14oku8q657d1s7","MGI:2685031","Leo1","Early adult","C57BL","ESLIM_011_001_005","PP4 startle magnitude",0.81
"q1515catswe174q","MGI:2441730","Tbl1xr1","Late adult","C57BL","IMPC_DXA_008_001","Lean/Body weight",0.23
"q157dqf11v9464i","MGI:98241","Stmn2","Early adult","C57BL","ESLIM_020_001_002","Heart weight",0.9
"q15cm8xblv561cj","MGI:1309467","Gstm6","Early adult","C57BL","IMPC_OFD_015_001","Center resting time",0.44
"q1609264r0xtn98","MGI:95805","Grb2","Early adult","C57BL","IMPC_ECH_005_001","Fractional Shortening",0.88
"q16534vqoi755ti","MGI:1918588","Tprg1","Early adult","C57BL","M-G-P_025_001_012","Lactate dehydrogenase",0.41
"q16992h97i9ns7c","MGI:1919824","Zc3h14","Early adult","C57BL","ESLIM_011_001_003","PP2 startle magnitude",0.35
"q1a5w65w23762u1","MGI:99602","Acan","Early adult","C57BL","IMPC_OFD_013_001","Periphery average speed",0.89
"q1b5r365tjmz3a0","MGI:2153608","Ube2j2","Early adult","C57BL","IMPC_CAL_021_001","Total water intake",0.17
"q1f2r2ns85l34j8","MGI:1339759","Csf2rb","Early adult","C57BL","IMPC_CSD_032_001","Locomotor activity",0.19
"q1plm1739ojsd34","MGI:1921720","Cep72","Early adult","C57BL","IMPC_INS_001_001","Insulin",0.3
"q1t3b3u8w2ehl45","MGI:1915759","Ptx4","Early adult","C57BL","KMPCLA_HEM_007_001","Mean cell hemoglobin concentration",0.15
"q1u8722b2j6873i","MGI:1922928","Ippk","E9.5","C57BL","IMPC_DXA_002_001","Fat mass",0.54
"q20uy22k13qb9i9","MGI:3607787","Spata21","Early adult","C57BL","IMPC_CSD_019_001","Forelimbs - size",0.16
"q2193w8x22s7958","MGI:1309998","Marco","Early adult","C57BL","IMPC_OFD_022_001","Percentage center time",0.76
"q22a9hv8jmmw6f6","MGI:1923549","Erp44","Early adult","C57BL","IMPC_HEM_003_001","Hemoglobin",0.84
"q253489zd51d2gw","MGI:1349473","Ppp2r5e","Early adult","C57BL","IMPC_EYE_025_001","Retinal Blood Vessels Structure",0.34
"q2718z377mutx47","MGI:1922928","Ippk","Early adult","C57BL","IMPC_HEM_007_001","Mean cell hemoglobin concentration",0.88
"q273p5206w68yr6","MGI:1309998","Marco","Early adult","C57BL","IMPC_CSD_019_001","Forelimbs - size",0.59
"q278j7c64n29rb6","MGI:1914852","Necap1","Early adult","C57BL","IMPC_ABR_012_001","30kHz-evoked ABR Threshold",0.55
"q295ish5v12s661","MGI:2388280","Polr2b","E9.5","C57BL","JAX_URI_004_001","Magnesium",0.79
"q2b2t71r72ub4dg","MGI:1915267","Mrm2","E9.5","C57BL","IMPC_OFD_022_001","Percentage center time",0.1
"q2d1e2sb9ti97yd","MGI:95777","Gnas","Early adult","129SV","M-G-P_005_001_001","Weight",0.65
"q2f731tl2qnz518","MGI:3607787","Spata21","Early adult","C57BL","IMPC_GRS_010_001","Forelimb grip strength normalised against body weight",0.6
"q2j4nnwt222w127","MGI:97808","Ptpra","Early adult","C57BL","IMPC_ACS_034_001","% Pre-pulse inhibition - PPI2",0.49
"q2plw629m5b3r8t","MGI:88344","Cd7","Early adult","C57BL","IMPC_ACS_037_001","% Pre-pulse inhibition - Global",0.48
"q2vj58qucs1j1oy","MGI:2443796","Scart1","Early adult","C57BL","IMPC_HEM_002_001","Red blood cell count",0.53
"q2w049mo24s5279","MGI:1922928","Ippk","Early adult","C57BL","IMPC_HEM_038_001","Basophil differential count",0.78
"q2xmj9t981brq68","MGI:1930923","Slurp1","Early adult","C57BL","RBRCLA_HEM_005_001","Mean cell volume",0.98
"q2xrzg6k82j6515","MGI:2441730","Tbl1xr1","Late adult","C57BL","IMPC_DXA_009_001","Fat/Body weight",0.85
"q2y40o899c1s9wq","MGI:2685031","Leo1","Early adult","C57BL","JAX_LDT_002_001","Light side time spent",1
"q302cj1xk26zo27","MGI:2136748","Pcdhb13","Early adult","C57BL","ESLIM_009_001_702","Forelimb and hindlimb grip strength measurement mean",0.67
"q314g02x4062142","MGI:1930923","Slurp1","Early adult","C57BL","IMPC_OFD_013_001","Periphery average speed",0.22
"q3185ipr45j3h72","MGI:3607787","Spata21","Early adult","C57BL","IMPC_OFD_016_001","Center permanence time",0.23
"q31i6321vw9vbz9","MGI:2685945","Pstk","Early adult","C57BL","CCP_XRY_001_001","Skull shape",0.38
"q31zyd16m58v768","MGI:1333782","Pld3","Early adult","C57BL","IMPC_OFD_050_001","Percentage center movement time",0.47
"q325q75f00b390x","MGI:1098746","Ankzf1","Early adult","C57BL","IMPC_GRS_008_001","Forelimb grip strength measurement mean",0.19
"q32o618w89fg829","MGI:1339711","Myh1","Early adult","C57BL","ESLIM_016_001_002","Red blood cell count",0.19
"q3466r2s7291a0w","MGI:1196466","Dsg2","Early adult","C57BL","JAX_ECT_011_001","mA threshold inducing clonic seizure",0.16
"q34w301880ekog7","MGI:2388280","Polr2b","Early adult","C57BL","IMPC_ECH_005_001","Fractional Shortening",0.57
"q35m5321lp252h5","MGI:98957","Wnt4","Early adult","C57BL","ESLIM_016_001_008","Platelets count",0.48
"q35rtjwj1p25sur","MGI:1923549","Erp44","Early adult","C57BL","IMPC_EYE_063_001","Right inner nuclear layer",0.22
"q361wz0xnp45t94","MGI:2388280","Polr2b","E9.5","C57BL","M-G-P_026_001_011","Snout morphology",0.96
"q362s11z4788hu1","MGI:1333782","Pld3","Early adult","C57BL","IMPC_ABR_010_001","24kHz-evoked ABR Threshold",0.09
"q37h3r021ov386a","MGI:3052471","Slc2a12","Early adult","C57BL","IMPC_ABR_006_001","12kHz-evoked ABR Threshold",0.98
"q37i48d8kjv3cz4","MGI:1921078","Dcaf4","Early adult","C57BL","IMPC_CBC_016_001","HDL-cholesterol",0.75
"q3878wvt42ewe38","MGI:1921287","Acot6","Early adult","129SV","IMPC_GRS_009_001","Forelimb and hindlimb grip strength measurement mean",0.52
"q38y1jbir8c95p1","MGI:106351","Vcf1","Early adult","C57BL","IMPC_ECH_007_001","LVAWd",0.41
"q39092lq77fq5cv","MGI:107628","Prdm2","Early adult","C57BL","CCP_XRY_002_001","Zygomatic bone",0.46
"q395213qk902219","MGI:1339759","Csf2rb","Early adult","C57BL","IMPC_ACS_033_001","% Pre-pulse inhibition - PPI1",0.22
"q39s5zph3296i2m","MGI:2137026","P2rx5","Early adult","C57BL","IMPC_EYE_026_001","Retinal Blood Vessels Pattern",0.98
"q3b2s9g214we691","MGI:2684313","Togaram1","Early adult","C57BL","IMPC_ECH_012_001","LVPWs",0.22
"q3cu56236vts9lu","MGI:1916387","Vstm5","Early adult","C57BL","IMPC_OFD_050_001","Percentage center movement time",0.52
"q3didekv6g29qk2","MGI:1916387","Vstm5","Early adult","C57BL","IMPC_CSD_080_001","Head bobbing",0.16
"q3f07nn6w72g1cr","MGI:103250","Calm2","Early adult","C57BL","IMPC_EYE_025_001","Retinal Blood Vessels Structure",0.87
"q3f81988e586911","MGI:96217","Hprt1","Early adult","C57BL","KMPCLA_CBC_006_001","Total protein",0.85
"q3mm4a638laqhh5","MGI:2145567","Fam149b","Early adult","C57BL","RBRCLA_HEM_005_001","Mean cell volume",0.65
"q3o4h0850hom597","MGI:1859026","Cnot4","Early adult","C57BL","IMPC_EYE_017_001","Lens Opacity",0.51
"q3o780ae69gbk29","MGI:1928486","Tdo2","Early adult","C57BL","IMPC_EYE_069_001","Left inner nuclear layer",0.62
"q3p0652m6o781x4","MGI:1339759","Csf2rb","Early adult","C57BL","IMPC_ECH_007_001","LVAWd",0.28
"q3scuzdlm6nl632","MGI:2388280","Polr2b","Early adult","C57BL","HMGULA_CBC_016_001","HDL-cholesterol",0.33
"q3u9t1gkq9yp24b","MGI:2685031","Leo1","Early adult","C57BL","JAX_LDT_005_001","Time mobile dark side",0.26
"q3x6dl940f604qh","MGI:98241","Stmn2","Early adult","C57BL","JAX_LDT_008_001","Percent time in dark",0.65
"q3xn322opt608m8","MGI:1915267","Mrm2","Early adult","C57BL","JAX_LDT_009_001","Percent time in light",0.15
"q404638lh63i8m4","MGI:2136748","Pcdhb13","Early adult","C57BL","IMPC_GEM_027_001","Limb Bud Morphology",0.81
"q40f48zmg6ddci4","MGI:2684313","Togaram1","Early adult","C57BL","JAX_URI_004_001","Magnesium",0.51
"q40r6i8k77awse0","MGI:98839","Prss1","Early adult","C57BL","IMPC_HEM_003_001","Hemoglobin",0.93
"q414s1z6uvc4988","MGI:1930923","Slurp1","Early adult","C57BL","IMPC_EYE_067_001","Left anterior chamber depth",0.93
"q417y63j8mvj838","MGI:2669796","Rtn4rl2","Early adult","C57BL","IMPC_GRS_008_001","Forelimb grip strength measurement mean",0.24
"q41d84qo626umh9","MGI:2681308","Tas2r139","Early adult","C57BL","IMPC_OFD_011_001","Periphery resting time",0.17
"q433p20b9gpy9cg","MGI:1921674","Tmc5","Early adult","C57BL","IMPC_CBC_028_001","Creatine kinase",0.95
"q451vbxmn50mchj","MGI:107628","Prdm2","Early adult","C57BL","ESLIM_009_001_702","Forelimb and hindlimb grip strength measurement mean",0.42
"q4592xqt2ud9yod","MGI:98905","Usp4","Early adult","C57BL","IMPC_ECH_010_001","LVAWs",0.98
"q45r6243056g589","MGI:1916943","Pof1b","Early adult","C57BL","M-G-P_025_001_021","Uric acid",0.78
"q46uu2jrawu0493","MGI:98241","Stmn2","Early adult","C57BL","IMPC_ACS_034_001","% Pre-pulse inhibition - PPI2",0.57
"q4728z0h6i1p559","MGI:1859026","Cnot4","Early adult","C57BL","M-G-P_025_001_022","Total bilirubin",0.55
"q47t9p8iq91legh","MGI:2443796","Scart1","Early adult","C57BL","ESLIM_009_001_702","Forelimb and hindlimb grip strength measurement mean",0.54
"q4990pt1f6id326","MGI:3037820","Kcna10","E12.5","C57BL","IMPC_HEM_027_001","Red blood cell distribution width",0.72
"q4c0d4e95w442p0","MGI:1919588","Wdr89","Early adult","C57BL","IMPC_CBC_023_001","Alpha-amylase",0.47
"q4e6mi9d1923xpe","MGI:109151","Ltbp1","Early adult","129SV","IMPC_CBC_006_001","Total protein",0.42
"q4g96llna313zg7","MGI:1196466","Dsg2","Early adult","C57BL","M-G-P_025_001_022","Total bilirubin",0.58
"q4h84517z5o4z28","MGI:1928486","Tdo2","E12.5","C50BL","JAX_URI_005_001","Glucose",0.72
"q4i43vlu8890quc","MGI:1921287","Acot6","Early adult","C57BL","IMPC_OFD_015_001","Center resting time",0.27
"q4k26v7a3uo683i","MGI:1919824","Zc3h14","Early adult","C57BL","IMPC_ABR_012_001","30kHz-evoked ABR Threshold",0.37
"q4ocu3m99365021","MGI:1921674","Tmc5","Early adult","C57BL","MGP_IMM_100_001","Resting NK cells - % of CD45+",0.66
"q4oy7389q7z21rg","MGI:2441730","Tbl1xr1","Early adult","C57BL","IMPC_HWT_008_001","Heart weight",0
"q4rbi3n9i4n5765","MGI:1923549","Erp44","Early adult","C57BL","RBRCLA_CBC_004_001","Urea (Blood Urea Nitrogen - BUN)",0.78
"q4z76bl5a2k48e1","MGI:3652039","Rad21l","Middle aged adult","C57BL","HMGULA_HWT_008_001","Heart weight",0.59
"q5291s05gf696em","MGI:2385186","Clcc1","Early adult","C57BL","M-G-P_026_001_011","Snout morphology",0.21
"q548ozh1ih939y7","MGI:88289","Cbx2","E15.5","C57BL","IMPC_DXA_004_001","Bone Mineral Density (excluding skull)",0.77
"q5491841v52e0vr","MGI:99602","Acan","E15.5","C57BL","MGP_IMM_100_001","Resting NK cells - % of CD45+",0.9
"q55900xt97j329e","MGI:2385186","Clcc1","E9.5","C57BL","IMPC_ABR_012_001","30kHz-evoked ABR Threshold",0.42
"q57a547r4151022","MGI:2442689","Lrrc49","Early adult","C57BL","M-G-P_006_001_013","Radius",0.73
"q5807c2ib69z9o5","MGI:95805","Grb2","Early adult","C57BL","IMPC_HWT_008_001","Heart weight",0.24
"q598uw8ai201e46","MGI:2387194","Qsox2","Late adult","C57BL","IMPC_HEM_005_001","Mean cell volume",0.55
"q5a8rxk1618034i","MGI:2151224","Alpk3","Early adult","C57BL","IMPC_HWT_008_001","Heart weight",0
"q5cz0xf77b4171k","MGI:1928486","Tdo2","E15.5","C57BL","IMPC_GRS_011_001","Forelimb and hindlimb grip strength normalised against body weight",0.72
"q5e8dak3w2qm71n","MGI:1353497","Slc25a10","Early adult","C57BL","IMPC_CSD_008_001","Coat - color pattern - back",0.46
"q5f5298684a2684","MGI:2137026","P2rx5","Early adult","C57BL","IMPC_HWT_008_001","Heart weight",0.26
"q5h337l3o9dvg0b","MGI:1196466","Dsg2","Early adult","C57BL","IMPC_IPG_010_001","Fasted blood glucose concentration",0.87
"q5pd3y3kq648b6d","MGI:88289","Cbx2","E15.5","C57BL","M-G-P_026_001_011","Snout morphology",0.46
"q5q3oy0qr3h662i","MGI:3041259","Mettl25","Early adult","C57BL","IMPC_EYE_017_001","Lens Opacity",0.46
"q5rx947yora8b26","MGI:1353497","Slc25a10","Early adult","C57BL","IMPC_CSD_009_001","Coat - color pattern - head",0.6
"q5yn55hpcjokud1","MGI:3527427","Taar3","Early adult","C57BL","IMPC_OFD_022_001","Percentage center time",0.67
"q5z8mq8326ndkfs","MGI:1921674","Tmc5","Early adult","C57BL","IMPC_OFD_016_001","Center permanence time",0.09
"q60484h39141qjc","MGI:88289","Cbx2","Early adult","C57BL","CCP_XRY_057_001","Kyphosis",0.7
"q60b835942gbm23","MGI:109349","Atf2","Early adult","C57BL","IMPC_CSD_009_001","Coat - color pattern - head",0.14
"q60sfj4d54vt1tz","MGI:2685031","Leo1","Early adult","C57BL","IMPC_DXA_010_001","Bone Area",0.5
"q62x5040t57l8wu","MGI:1349473","Ppp2r5e","Early adult","C57BL","MGP_IMM_121_001","Macrophages - % of CD45+",0.51
"q63n256i06445vs","MGI:1859026","Cnot4","Early adult","C57BL","IMPC_OFD_011_001","Periphery resting time",0.09
"q63zgm08977468h","MGI:1915625","Ndufa8","Early adult","C57BL","IMPC_ECH_007_001","LVAWd",0.51
"q64151op985c873","MGI:1859026","Cnot4","Early adult","C57BL","MGP_IMM_121_001","Macrophages - % of CD45+",0.17
"q66x1gh3q127bw6","MGI:3037820","Kcna10","E12.5","C57BL","IMPC_ACS_033_001","% Pre-pulse inhibition - PPI1",0.17
"q67g9g432r33271","MGI:1859211","Irf6","Early adult","C57BL","IMPC_ABR_004_001","6kHz-evoked ABR Threshold",0.44
"q67z819318x7c06","MGI:1915918","Klk5","Early adult","C57BL","IMPC_CBC_016_001","HDL-cholesterol",0.67
"q68e35vj5r1mvh7","MGI:99602","Acan","Early adult","C57BL","IMPC_CBC_006_001","Total protein",0.97
"q68ql7r8wa5tj8f","MGI:1919588","Wdr89","Early adult","C57BL","IMPC_CSD_080_001","Head bobbing",0.86
"q6f1e298260b01c","MGI:1916943","Pof1b","Early adult","C57BL","JAX_LDT_008_001","Percent time in dark",0.85
"q6g133j0661mn38","MGI:1915918","Klk5","Early adult","C57BL","IMPC_EYE_016_001","Lens",0.19
"q6k09t7417x1oa5","MGI:1926024","Cfap61","Early adult","C57BL","IMPC_CSD_019_001","Forelimbs - size",0.52
"q6k80p5s8mbpl89","MGI:96438","Igfbp3","Early adult","C57BL","IMPC_OFD_017_001","Center average speed",0.69
"q6l64m32hkniy51","MGI:1333782","Pld3","Early adult","C57BL","IMPC_CBC_018_001","Glucose",0.76
"q6ls79c785228yg","MGI:95864","Gstp2","Early adult","C57BL","ESLIM_011_001_003","PP2 startle magnitude",0.41
"q6p4k5b03557pzk","MGI:1921287","Acot6","Early adult","C57BL","CCP_XRY_003_001","Maxilla/Pre-maxilla",0.31
"q6p9z70w1h23e2y","MGI:1344403","Cfdp1","Early adult","C57BL","IMPC_CBC_005_001","Creatinine",0.22
"q6qp3c0ax6tko60","MGI:1921275","Nphp3","Early adult","C57BL","IMPC_GEP_004_002","Spontaneous movement",0.52
"q6rk39n254q2146","MGI:88344","Cd7","Early adult","C57BL","IMPC_CSD_017_001","Forelimbs - position",0.89
"q6s4h1uu2xe5saz","MGI:1915918","Klk5","Early adult","C57BL","KMPCLA_HEM_007_001","Mean cell hemoglobin concentration",0.79
"q6tv370t8h9d9d9","MGI:1921275","Nphp3","Early adult","C57BL","IMPC_HEM_002_001","Red blood cell count",0.56
"q6u59e6l9492r28","MGI:97594","Prkacb","Early adult","C57BL","IMPC_GEP_005_002","Responsive to tactile stimuli",0.58
"q6wx8jew719w816","MGI:3037820","Kcna10","Early adult","C57BL","IMPC_OFD_050_001","Percentage center movement time",0.09
"q706h91078m198l","MGI:2385186","Clcc1","E9.5","C57BL","IMPC_ABR_006_001","12kHz-evoked ABR Threshold",0.12
"q70zcx45x728902","MGI:98905","Usp4","Early adult","C57BL","IMPC_CSD_036_001","Startle response",0.72
"q739z42r2zc7tyn","MGI:99160","Zfp14","Early adult","C57BL","IMPC_OFD_020_001","Distance travelled - total",0.82
"q73b122qc73685a","MGI:98241","Stmn2","E12.5","C57BL","ESLIM_016_001_008","Platelets count",0.05
"q73q747ir34j1tt","MGI:1859026","Cnot4","Early adult","C57BL","ESLIM_011_001_005","PP4 startle magnitude",0.55
"q7497ua02djr5t4","MGI:2145567","Fam149b","Early adult","C57BL","IMPC_ECH_010_001","LVAWs",0.99
"q75z1y9g6x56joy","MGI:99160","Zfp14","Early adult","C51BL","RBRCLA_CBC_004_001","Urea (Blood Urea Nitrogen - BUN)",0.88
"q761eh66u310q51","MGI:1339998","Efemp1","Early adult","C57BL","IMPC_ECH_007_001","LVAWd",0.4
"q770tce2j7tnia7","MGI:1309467","Gstm6","Early adult","C57BL","IMPC_HEM_008_001","Platelet count",0.18
"q784fzwa59047j0","MGI:95805","Grb2","Early adult","129SV","IMPC_CBC_023_001","Alpha-amylase",0.59
"q78ig4oe434tf5t","MGI:2684313","Togaram1","E12.5","C57BL","IMPC_ABR_004_001","6kHz-evoked ABR Threshold",0.36
"q7h2mfjk2v97u9w","MGI:2685945","Pstk","Early adult","C57BL","IMPC_CBC_028_001","Creatine kinase",0.94
"q7h906cp0mylu35","MGI:109349","Atf2","Early adult","C57BL","IMPC_CSD_010_001","Coat - color pattern - abdomen",0.42
"q7o08n5r4t4ht8s","MGI:95805","Grb2","Early adult","129SV","IMPC_DXA_005_001","Bone Mineral Content (excluding skull)",0.86
"q7ut3hy8x4598nf","MGI:3652039","Rad21l","Middle aged adult","C57BL","IMPC_XRY_033_001","Tibia length",0.73
"q7wq35l5m8v60d9","MGI:3607787","Spata21","Early adult","C57BL","ESLIM_021_001_005","HDL-cholesterol",0.43
"q7y3921gfu6reqi","MGI:98905","Usp4","Early adult","C57BL","IMPC_CBC_012_001","Aspartate aminotransferase",0.19
"q8233x37sh85e82","MGI:3607787","Spata21","Early adult","C57BL","IMPC_GEL_032_001","Embryo Size",0.94
"q824mq8x144mgqv","MGI:2385186","Clcc1","E12.5","C57BL","IMPC_EYE_002_001","Bulging eye",0.09
"q83l3508v0s246f","MGI:2441730","Tbl1xr1","Early adult","C57BL","IMPC_CSD_010_001","Coat - color pattern - abdomen",0.09
"q886ez56h3utr15","MGI:88452","Col2a1","Early adult","C57BL","IMPC_CSD_019_001","Forelimbs - size",0.5
"q89b2g8jlzd0075","MGI:3527427","Taar3","Early adult","C57BL","MGP_IMM_033_001","Total NK cells - % of CD45+",0.68
"q8bm255q81d8236","MGI:2388280","Polr2b","E9.5","C57BL","IMPC_EYE_062_001","Right total retinal thickness",0.12
"q8bx30to85p0evv","MGI:2387194","Qsox2","Late adult","C57BL","ESLIM_009_001_702","Forelimb and hindlimb grip strength measurement mean",0.33
"q8c85ac7j012h97","MGI:1928486","Tdo2","Early adult","C57BL","IMPC_CSD_039_001","Limb grasp",0.65
"q8e4c52gii56e5b","MGI:1859211","Irf6","Early adult","C57BL","JAX_ECT_011_001","mA threshold inducing clonic seizure",0.05
"q8ek2txg884p491","MGI:2136748","Pcdhb13","Early adult","C57BL","IMPC_CSD_029_001","Activity (body position)",0.96
"q8gmqof5415j3mi","MGI:2441730","Tbl1xr1","Late adult","C57BL","IMPC_CBC_007_001","Albumin",0.63
"q8n36p4eykec980","MGI:1921275","Nphp3","Early adult","C57BL","IMPC_HEM_008_001","Platelet count",0.14
"q8o20wd7q087bvy","MGI:109349","Atf2","Early adult","C57BL","IMPC_EYE_063_001","Right inner nuclear layer",0.21
"q8qi4628l87yac4","MGI:1932970","Ucn3","Early adult","C57BL","IMPC_HEM_003_001","Hemoglobin",0.16
"q8qk949spb70501","MGI:3037820","Kcna10","Early adult","C57BL","ESLIM_016_001_008","Platelets count",0.55
"q9046875113198p","MGI:1915918","Klk5","Early adult","C57BL","IMPC_EYE_026_001","Retinal Blood Vessels Pattern",0.71
"q9136lawq31635h","MGI:2441730","Tbl1xr1","Early adult","C57BL","CCP_XRY_003_001","Maxilla/Pre-maxilla",0.22
"q91754jj63t871d","MGI:2388280","Polr2b","Early adult","C57BL","IMPC_EYE_007_001","Cornea",0.78
"q91x30lpeih7qm8","MGI:1914852","Necap1","E18.5","C57BL","JAX_OFD_021_001","Number of rears - total",0.25
"q923m66c68gfv3h","MGI:2137026","P2rx5","Early adult","C57BL","MGP_IMM_104_001","Mature NK cells - % of lymphocytes",0.44
"q92z00zit6c23m1","MGI:98261","Ccl4","Early adult","C57BL","IMPC_CBC_017_001","Triglycerides",0.61
"q92z4p4ha7u1m41","MGI:1930923","Slurp1","Early adult","C57BL","IMPC_EYE_002_001","Bulging eye",0.83
"q932jqd0r047ck4","MGI:1339711","Myh1","Early adult","C57BL","ESLIM_016_001_005","Mean cell volume",0.84
"q93vfxluz83y0um","MGI:1347361","Mmp23","Early adult","C57BL","IMPC_EYE_068_001","Left total retinal thickness",0.81
"q94s1hzqn857547","MGI:1921275","Nphp3","Early adult","C57BL","HMGULA_HWT_008_001","Heart weight",0.97
"q967tx70532g25d","MGI:3652039","Rad21l","Middle aged adult","C57BL","IMPC_CSD_080_001","Head bobbing",0.8
"q9a8vq18j6218cg","MGI:1915340","Yif1a","Early adult","C57BL","IMPC_EYE_017_001","Lens Opacity",0.34
"q9b464gjg8s7671","MGI:98241","Stmn2","E18.5","C57BL","CCP_XRY_002_001","Zygomatic bone",0.84
"q9c239x93j1sgz8","MGI:2151224","Alpk3","Early adult","C57BL","IMPC_OFD_007_001","Whole arena resting time",0.33
"q9f8k212bdelz46","MGI:2153608","Ube2j2","Early adult","C57BL","JAX_URI_004_001","Magnesium",0.19
"q9kd14818u8a5f4","MGI:2443834","Ppfia2","Early adult","C57BL","ESLIM_011_001_005","PP4 startle magnitude",0.57
"q9o9613ocv09i71","MGI:2441730","Tbl1xr1","Early adult","C57BL","IMPC_HWT_002_001","Tibia length",0.34
"q9v441zcv83wx5i","MGI:1916387","Vstm5","Early adult","C57BL","IMPC_DXA_009_001","Fat/Body weight",0.63
"q9v5r0o900de18c","MGI:1922928","Ippk","E12.5","C57BL","MGP_IMM_100_001","Resting NK cells - % of CD45+",0.87
"qa1490f1js9577j","MGI:88344","Cd7","Early adult","C57BL","IMPC_INS_001_001","Insulin",0.61
